player,pos,team,worpTier,worp,porp,tradeValue,week,spikeHighP,spikeMidP,spikeLowP
Sam Darnold,QB,SEA,3,0.39,39.38,2615,16,0.1875,0.4375,0.5
Jameson Williams,WR,DET,2,0.56,51.6,2570,16,0.3125,0.5,0.5625
Kyle Pitts,TE,ATL,3,0.34,33.3,2531,16,0.1875,0.375,0.625
KC Concepcion,WR,CLE,,,,2513,,NaN,NaN,NaN
Kenyon Sadiq,TE,NYJ,,,,2468,,NaN,NaN,NaN
Bryce Young,QB,CAR,3,0.23,18.58,2445,15,0.13333333333333333,0.2,0.3333333333333333
Malik Willis,QB,MIA,3,0.09,6.96,2393,4,0.25,0.25,0.25
Matthew Stafford,QB,LA,1,1.32,129.5,2292,16,0.375,0.5,0.9375
Derrick Henry,RB,BAL,1,1.47,136,2270,16,0.4375,0.5625,0.875
Daniel Jones,QB,IND,2,0.77,70.02,2205,13,0.15384615384615385,0.3076923076923077,0.8461538461538461
Bhayshul Tuten,RB,JAX,4,-0.36,-34.9,2188,14,0,0.14285714285714285,0.35714285714285715
Ty Simpson,QB,LA,,,,2175,,NaN,NaN,NaN
DJ Moore,WR,BUF,3,0.15,18.18,2145,16,0.25,0.25,0.3125
Omar Cooper,WR,NYJ,,,,2011,,NaN,NaN,NaN
Eli Stowers,TE,PHI,,,,1995,,NaN,NaN,NaN
Christian Watson,WR,GB,3,0.42,38.4,1987,10,0.3,0.4,0.5
Jordan Addison,WR,MIN,3,0.12,10.8,1983,13,0,0.3076923076923077,0.38461538461538464
Terry McLaurin,WR,WAS,3,0.17,14,1930,9,0.1111111111111111,0.3333333333333333,0.3333333333333333
Alec Pierce,WR,IND,3,0.24,21.7,1924,14,0.07142857142857142,0.2857142857142857,0.42857142857142855
D'Andre Swift,RB,CHI,2,0.95,89.7,1862,15,0.3333333333333333,0.5333333333333333,0.8666666666666667
Parker Washington,WR,JAX,3,0.14,18.8,1861,15,0.06666666666666667,0.26666666666666666,0.3333333333333333
David Montgomery,RB,HOU,3,0.29,23.42,1854,16,0.125,0.1875,0.5625
